                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4837,                 2.7121,                 2.2024,                0.71454,                0.62933,                0.70345,                0.40721,                 3.2144,                 1.9871,                  2.096,             0.00066602,             0.00066602,             0.00066602
                      2,                 3.2517,                 1.9272,                 2.1085,                0.75941,                0.68264,                0.75414,                0.44253,                 3.1063,                 1.8089,                 2.0555,              0.0012007,              0.0012007,              0.0012007
                      3,                 3.1848,                 1.7873,                 2.0856,                0.79265,                0.70664,                0.78619,                0.46557,                 3.0479,                 1.6583,                 2.0459,              0.0016035,              0.0016035,              0.0016035
                      4,                  3.129,                 1.6924,                 2.0622,                0.80443,                 0.7163,                0.80281,                0.48146,                 3.0108,                 1.6088,                 2.0262,               0.001406,               0.001406,               0.001406
                      5,                 3.0851,                 1.6361,                 2.0431,                0.81308,                0.72764,                0.81106,                0.49468,                 2.9609,                 1.5611,                 2.0039,               0.001208,               0.001208,               0.001208
                      6,                 3.0463,                 1.5793,                 2.0306,                0.82474,                0.73711,                0.81917,                0.50071,                 2.9285,                 1.5157,                  1.995,                0.00101,                0.00101,                0.00101
                      7,                 3.0175,                 1.5395,                 2.0147,                0.83591,                0.74258,                0.82882,                0.51242,                 2.9029,                 1.4984,                 1.9893,               0.000812,               0.000812,               0.000812
                      8,                 2.9836,                 1.5009,                 2.0057,                0.84392,                0.75402,                0.84219,                0.52147,                 2.8771,                 1.4391,                 1.9792,               0.000614,               0.000614,               0.000614
                      9,                 2.9569,                 1.4658,                 1.9932,                0.85068,                0.76147,                0.84815,                0.52614,                 2.8606,                 1.4104,                 1.9698,               0.000416,               0.000416,               0.000416
                     10,                 2.9325,                 1.4368,                  1.985,                0.85334,                0.76769,                0.85404,                0.53309,                 2.8416,                 1.3915,                 1.9598,               0.000218,               0.000218,               0.000218
