                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6142,                 4.1738,                 3.1978,                0.71025,                0.86667,                0.88147,                0.68638,                  2.904,                 2.4562,                 2.4385,                      0,                      0,                      0
                      2,                 2.5355,                  5.179,                 3.0347,                0.67335,                0.86667,                 0.8711,                0.68321,                 2.8968,                   2.44,                 2.4334,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.0293,                 5.9297,                 2.8746,                0.69236,                0.86667,                0.89531,                0.68664,                 2.9154,                 2.4571,                 2.4412,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.3459,                 4.7787,                 2.7835,                  0.713,                0.86667,                0.89474,                0.68572,                 2.9177,                 2.4656,                  2.442,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.2897,                 4.1123,                 3.0103,                0.70576,                0.86667,                0.88771,                0.68492,                 2.9285,                 2.4792,                 2.4416,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 3.1115,                 7.2586,                 3.7318,                0.67817,                0.86667,                0.88764,                0.68519,                 2.9331,                 2.4904,                 2.4411,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.0919,                 3.0404,                 2.6235,                0.70585,                0.86667,                0.88763,                0.68504,                 2.9323,                 2.5027,                 2.4404,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.2638,                 5.0107,                  2.717,                0.72155,                0.86667,                0.88485,                0.68303,                  2.987,                 2.4726,                 2.4921,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.0939,                 3.6392,                 2.7113,                0.70903,                0.86667,                0.88295,                0.68488,                  2.972,                 2.4829,                 2.4859,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 2.3859,                 4.2772,                 3.1974,                0.70895,                0.78333,                0.87047,                0.68193,                 2.9724,                  2.547,                 2.5088,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.4878,                 3.5597,                 3.1486,                0.70397,                0.78333,                0.87046,                 0.6821,                 2.9846,                  2.566,                 2.5173,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.0526,                 2.7295,                 2.9088,                0.69675,                0.78333,                0.87031,                0.66135,                 2.9967,                 2.6006,                 2.5217,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.7089,                 2.8795,                 2.2127,                0.68952,                0.78333,                0.87033,                0.68206,                 3.0057,                 2.6137,                  2.524,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.9601,                 3.2774,                  2.931,                 0.6836,                0.78333,                0.87053,                 0.6608,                  3.018,                 2.6521,                  2.532,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.3308,                 2.1757,                 2.0446,                0.67778,                0.78333,                0.87055,                0.65892,                 3.0152,                 2.6678,                 2.5314,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 2.3076,                 2.9639,                 3.0874,                0.67611,                0.78333,                0.86814,                0.65797,                 2.9698,                  2.879,                 2.4986,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.4937,                  2.232,                 2.2078,                0.67493,                0.78333,                0.86669,                0.65731,                  2.979,                 2.9099,                 2.5021,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 2.0353,                 2.1319,                 2.5558,                0.67493,                0.78333,                0.86669,                0.65731,                  2.979,                 2.9099,                 2.5021,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.5272,                 2.3163,                 2.0764,                0.68243,                0.78333,                0.86423,                0.65436,                 3.0196,                 2.8929,                 2.5457,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.9596,                 2.1362,                  2.517,                0.68243,                0.78333,                0.86423,                0.65436,                 3.0196,                 2.8929,                 2.5457,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.8939,                 3.6323,                 2.8386,                0.66811,                0.78333,                0.86336,                0.65796,                 3.0213,                  2.948,                 2.5519,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.2303,                  3.478,                 3.0035,                0.66811,                0.78333,                0.86336,                0.65796,                 3.0213,                  2.948,                 2.5519,             1.9795e-05,             1.9795e-05,             1.9795e-05
